loss,eikonal_loss,source_loss,positivity_loss,lr,time
0.944519305229187,0.8829388618469238,0.029402127489447594,0.0321783646941185,0.001,0.6757781505584717
0.7869303929805755,0.5790714025497437,0.10766877233982086,0.10019028931856155,0.001,0.2084486484527588
0.6414059019088745,0.5017077922821045,0.07328388094902039,0.06641429662704468,0.001,0.15352916717529297
0.45928587794303893,0.34807857871055603,0.06760579347610474,0.04360148310661316,0.001,0.22296690940856934
0.3492237198352814,0.25393956899642944,0.06868372112512589,0.02660042606294155,0.001,0.24934816360473633
0.29204822838306427,0.18410982191562653,0.07000408321619034,0.03793429210782051,0.001,0.2107079029083252
0.25209724962711333,0.13887569308280945,0.07944043725728989,0.033781129866838455,0.001,0.22336316108703613
0.2304314059019089,0.12096098065376282,0.0701775848865509,0.0392928272485733,0.001,0.230147123336792
0.24101293951272965,0.12267813086509705,0.07579786330461502,0.042536959052085876,0.001,0.20696187019348145
0.2508688521385193,0.12463011592626572,0.08155755698680878,0.04468117281794548,0.001,0.22093534469604492
0.23282724678516387,0.113985575735569,0.07373647391796112,0.04510519653558731,0.001,0.23846006393432617
0.21650147706270217,0.10699254274368286,0.06412644684314728,0.04538247734308243,0.001,0.2279958724975586
0.20426043301820754,0.09766918420791626,0.06704659759998322,0.03954465687274933,0.001,0.2197718620300293
0.19723760336637497,0.09210031479597092,0.06414470076560974,0.040992580354213715,0.001,0.20369291305541992
0.1972567468881607,0.09188428521156311,0.06637692451477051,0.03899553418159485,0.001,0.2202613353729248
0.19801489174365997,0.08836612850427628,0.06575985997915268,0.04388890787959099,0.001,0.22632288932800293
0.19824575155973434,0.09210488200187683,0.05590830743312836,0.05023256689310074,0.001,0.22113609313964844
0.18286886155605317,0.07815515249967575,0.06864482164382935,0.03606889396905899,0.001,0.21444296836853027
0.17753684610128403,0.07807042449712753,0.05499301850795746,0.04447339102625847,0.001,0.21662282943725586
0.17402432471513749,0.07713812589645386,0.06198740005493164,0.03489881381392479,0.001,0.22731304168701172
0.17262753576040268,0.07069744169712067,0.060192953795194626,0.041737135499715805,0.001,0.23883962631225586
0.1616358268260956,0.0656517818570137,0.05591136962175369,0.04007267579436302,0.001,0.22707390785217285
0.16055986911058426,0.05907950550317764,0.06537976861000061,0.036100588738918304,0.001,0.22908711433410645
0.1648138016462326,0.06110106036067009,0.06234768405556679,0.041365060955286026,0.001,0.2290339469909668
0.16576163679361344,0.06027617305517197,0.05530514568090439,0.05018031597137451,0.001,0.2181401252746582
0.16173919439315795,0.06254653632640839,0.0649757981300354,0.03421685844659805,0.001,0.22022294998168945
0.15007502645254134,0.053588829934597015,0.05913650617003441,0.03734969347715378,0.001,0.22031807899475098
0.1540398259460926,0.05027701333165169,0.05910855159163475,0.04465426877140999,0.001,0.216202974319458
0.14829334497451782,0.05021784454584122,0.062398359179496765,0.03567713871598244,0.001,0.22438693046569824
0.16392992913722992,0.0538254976272583,0.0633825808763504,0.04672184959053993,0.001,0.21927404403686523
0.1463768483698368,0.0476854033768177,0.05687151104211807,0.04181994870305061,0.001,0.2181699275970459
0.1411397372186184,0.043422870337963104,0.059651438146829605,0.03806542232632637,0.001,0.2272341251373291
0.13577815771102905,0.042229581624269485,0.050414279103279114,0.043134283274412155,0.001,0.2253561019897461
0.14460579320788383,0.04328938573598862,0.06129707768559456,0.04001932963728905,0.001,0.22855496406555176
0.14836712121963502,0.04357457533478737,0.06685402244329453,0.03793852776288986,0.001,0.22747373580932617
0.15365920692682267,0.041399288922548294,0.0576302632689476,0.05462966486811638,0.001,0.22774505615234375
0.1466333445906639,0.04222574830055237,0.07115911692380905,0.03324847295880318,0.001,0.2482450008392334
0.1273103402554989,0.03739427402615547,0.04734800010919571,0.04256806895136833,0.001,0.20821189880371094
0.13081323534250258,0.037612129002809525,0.05312090367078781,0.040080200880765915,0.001,0.2584879398345947
0.12374176949262619,0.03654211387038231,0.04968510940670967,0.03751453757286072,0.001,0.22588801383972168
0.1256163838505745,0.032466739416122437,0.05108674615621567,0.042062897235155106,0.001,0.21799588203430176
0.1268361195921898,0.03740168735384941,0.05569636449217796,0.033738065510988235,0.001,0.25232982635498047
0.12525449499487876,0.03267104923725128,0.05084843561053276,0.04173501953482628,0.001,0.2884998321533203
